Sample Count	Soil Moisture
10	246
11	253
12	249
38	649
39	566
40	703
41	726
42	720
43	693
44	635
45	633
46	629
47	628
48	630
49	639
50	633
51	729
52	711
53	709
54	715
55	714
56	715
57	716
58	714
59	716
60	717
61	702
62	763
63	751
64	741
65	733
66	730
67	740
68	748
69	743
70	742
71	742
72	741
73	742
74	743
75	745
76	755
77	754
78	683
79	704
80	709
81	704
82	716
83	726
84	687
85	681
86	686
87	694
88	703
89	709
90	715
91	728
92	733
93	737
94	736
95	737
96	735
97	736
98	737
99	736
100	737
101	649
102	566
103	703
104	726
105	720
106	693
107	635
108	633
109	629
110	628
111	630
112	639
113	633
114	729
115	711
116	709
117	715
118	714
119	715
120	716
121	714
122	716
123	717
124	702
125	763
126	751
127	741
128	733
129	730
130	740
131	748
132	743
133	742
134	742
135	741
136	742
137	743
138	745
139	755
140	754
141	683
142	704
143	709
144	704
145	716
146	726
147	687
148	681
149	686
150	694
151	703
152	709
153	715
154	728
155	733
156	737
157	736
158	737
159	735
160	736
161	737
162	736
163	737
164	738
165	738
166	738
167	738
168	738
169	738
170	738
171	738
