Sample Number	Data
1	"Humidity: 61.80 %, Temp: 27.00 Celsius"
2	"Humidity: 61.80 %, Temp: 27.00 Celsius"
3	"Humidity: 61.80 %, Temp: 27.00 Celsius"
4	"Humidity: 75.60 %, Temp: 31.30 Celsius"
5	"Humidity: 62.00 %, Temp: 32.00 Celsius"
6	"Humidity: 59.50 %, Temp: 32.00 Celsius"
7	"Humidity: 56.60 %, Temp: 32.00 Celsius"
8	"Humidity: 54.80 %, Temp: 32.00 Celsius"
9	"Humidity: 53.50 %, Temp: 31.90 Celsius"
10	"Humidity: 52.60 %, Temp: 31.80 Celsius"
11	"Humidity: 52.10 %, Temp: 31.80 Celsius"
12	"Humidity: 52.00 %, Temp: 31.70 Celsius"
13	"Humidity: 51.90 %, Temp: 31.60 Celsius"
14	"Humidity: 51.90 %, Temp: 31.60 Celsius"
15	"Humidity: 51.80 %, Temp: 31.50 Celsius"
16	"Humidity: 51.70 %, Temp: 31.40 Celsius"
17	"Humidity: 51.70 %, Temp: 31.40 Celsius"
18	"Humidity: 52.00 %, Temp: 31.00 Celsius"
19	"Humidity: 52.00 %, Temp: 30.90 Celsius"
20	"Humidity: 99.90 %, Temp: 31.10 Celsius"
21	"Humidity: 91.50 %, Temp: 31.00 Celsius"
22	"Humidity: 76.30 %, Temp: 30.80 Celsius"
23	"Humidity: 68.90 %, Temp: 30.70 Celsius"
24	"Humidity: 64.20 %, Temp: 30.70 Celsius"
25	"Humidity: 61.20 %, Temp: 30.60 Celsius"
26	"Humidity: 59.10 %, Temp: 30.60 Celsius"
27	"Humidity: 57.90 %, Temp: 30.50 Celsius"
28	"Humidity: 57.00 %, Temp: 30.50 Celsius"
29	"Humidity: 56.40 %, Temp: 30.40 Celsius"
30	"Humidity: 56.00 %, Temp: 30.40 Celsius"
31	"Humidity: 55.70 %, Temp: 30.40 Celsius"
32	"Humidity: 61.40 %, Temp: 28.70 Celsius"
33	"Humidity: 60.80 %, Temp: 28.70 Celsius"
34	"Humidity: 60.60 %, Temp: 28.60 Celsius"
35	"Humidity: 60.70 %, Temp: 28.70 Celsius"
36	"Humidity: 60.50 %, Temp: 28.60 Celsius"
37	"Humidity: 60.50 %, Temp: 28.60 Celsius"
38	"Humidity: 60.50 %, Temp: 28.60 Celsius"
39	"Humidity: 60.40 %, Temp: 28.60 Celsius"
40	"Humidity: 60.40 %, Temp: 28.60 Celsius"
41	"Humidity: 60.20 %, Temp: 28.50 Celsius"
42	"Humidity: 60.50 %, Temp: 28.60 Celsius"
43	"Humidity: 60.50 %, Temp: 28.50 Celsius"
44	"Humidity: 60.70 %, Temp: 28.50 Celsius"
45	"Humidity: 61.00 %, Temp: 28.50 Celsius"
46	"Humidity: 61.10 %, Temp: 28.50 Celsius"
47	"Humidity: 61.00 %, Temp: 28.50 Celsius"
48	"Humidity: 61.00 %, Temp: 28.50 Celsius"
49	"Humidity: 61.00 %, Temp: 28.50 Celsius"
50	"Humidity: 60.90 %, Temp: 28.50 Celsius"
51	"Humidity: 60.80 %, Temp: 28.50 Celsius"
52	"Humidity: 60.70 %, Temp: 28.50 Celsius"
53	"Humidity: 60.50 %, Temp: 28.40 Celsius"
54	"Humidity: 60.50 %, Temp: 28.40 Celsius"
