Sample Number	Status
1	Active
2	Active
3	Inactive
4	Inactive
5	Inactive
6	Inactive
7	Inactive
8	Inactive
9	Inactive
10	Inactive
11	Inactive
12	Inactive
13	Inactive
14	Inactive
15	Inactive
16	Inactive
17	Inactive
18	Inactive
19	Inactive
20	Inactive
21	Inactive
22	Inactive
23	Inactive
24	Inactive
25	Inactive
26	Inactive
27	Inactive
28	Inactive
29	Inactive
30	Inactive
31	Inactive
32	Inactive
33	Inactive
34	Inactive
35	Inactive
36	Inactive
37	Inactive
38	Inactive
39	Inactive
40	Inactive
41	Inactive
42	Inactive
43	Inactive
44	Inactive
45	Inactive
46	Inactive
47	Inactive
48	Inactive
49	Inactive
50	Inactive
51	Inactive
52	Inactive
53	Inactive
54	Inactive
55	Inactive
56	Inactive
57	Inactive
58	Inactive
59	Inactive
60	Inactive
61	Inactive
62	Inactive
63	Inactive
64	Inactive
65	Inactive
66	Inactive
67	Inactive
68	Inactive
69	Inactive
70	Inactive
71	Inactive
72	Inactive
73	Inactive
74	Inactive
75	Inactive
76	Inactive
77	Inactive
78	Inactive
79	Inactive
80	Inactive
81	Inactive
82	Inactive
83	Inactive
84	Inactive
85	Inactive
86	Inactive
87	Inactive
88	Inactive
89	Inactive
90	Inactive
91	Inactive
92	Inactive
93	Inactive
94	Inactive
95	Inactive
96	Inactive
97	Inactive
98	Inactive
99	Inactive
100	Inactive
101	Inactive
102	Inactive
103	Inactive
104	Inactive
105	Inactive
106	Inactive
107	Inactive
108	Inactive
109	Inactive
110	Inactive
111	Inactive
112	Inactive
113	Inactive
114	Inactive
115	Inactive
116	Inactive
117	Inactive
118	Inactive
119	Inactive
120	Inactive
121	Inactive
122	Inactive
123	Inactive
124	Inactive
125	Inactive
126	Inactive
127	Inactive
128	Inactive
129	Inactive
130	Inactive
131	Inactive
132	Inactive
133	Inactive
134	Inactive
135	Inactive
136	Inactive
137	Inactive
138	Inactive
139	Inactive
140	Inactive
141	Inactive
142	Inactive
143	Inactive
144	Inactive
145	Inactive
146	Inactive
147	Inactive
148	Inactive
149	Inactive
150	Inactive
151	Inactive
152	Inactive
153	Inactive
154	Inactive
155	Inactive
156	Inactive
157	Inactive
158	Inactive
159	Inactive
160	Inactive
161	Inactive
162	Inactive
163	Inactive
164	Inactive
165	Inactive
166	Active
167	Active
168	Active
169	Active
170	Active
171	Active
172	Active
173	Active
174	Active
175	Active
176	Active
177	Active
178	Active
179	Active
180	Active
181	Inactive
182	Inactive
183	Inactive
184	Inactive
185	Inactive
186	Inactive
187	Inactive
188	Inactive
189	Inactive
190	Inactive
191	Inactive
192	Inactive
193	Inactive
194	Inactive
195	Inactive
196	Inactive
197	Inactive
198	Inactive
199	Inactive
200	Inactive
201	Inactive
202	Inactive
203	Inactive
204	Inactive
205	Inactive
206	Inactive
207	Active
208	Active
209	Active
210	Active
211	Active
212	Active
213	Active
214	Active
215	Active
216	Active
217	Active
218	Active
219	Active
220	Inactive
221	Inactive
222	Inactive
223	Inactive
224	Inactive
225	Inactive
226	Inactive
227	Inactive
228	Active
229	Active
230	Active
231	Active
232	Active
233	Active
234	Active
235	Active
236	Active
237	Active
238	Active
239	Inactive
240	Inactive
241	Inactive
242	Inactive
243	Inactive
244	Inactive
245	Inactive
246	Inactive
247	Inactive
248	Inactive
249	Inactive
250	Inactive
251	Inactive
252	Inactive
253	Inactive
254	Inactive
255	Active
256	Active
257	Active
258	Active
259	Active
260	Active
261	Active
262	Active
263	Active
264	Active
265	Active
266	Active
267	Active
268	Active
269	Active
270	Active
271	Active
272	Active
273	Active
274	Active
275	Active
276	Active
277	Active
278	Active
279	Active
280	Active
281	Active
282	Active
283	Active
284	Active
285	Active
286	Active
287	Active
288	Active
289	Active
290	Active
291	Active
292	Active
293	Active
294	Inactive
295	Inactive
296	Inactive
297	Inactive
298	Inactive
299	Inactive
300	Inactive
301	Active
302	Active
303	Active
304	Active
305	Active
306	Active
307	Active
308	Inactive
309	Inactive
310	Active
311	Active
312	Active
313	Active
314	Active
315	Active
316	Active
317	Active
318	Active
319	Active
320	Active
321	Active
322	Inactive
323	Inactive
324	Inactive
325	Inactive
326	Inactive
327	Inactive
328	Active
329	Active
330	Active
331	Active
332	Active
333	Active
334	Active
335	Active
336	Active
337	Active
338	Active
339	Active
340	Active
341	Active
342	Active
343	Active
344	Active
345	Active
346	Active
347	Active
348	Active
349	Active
350	Active
351	Active
352	Active
353	Active
354	Active
355	Active
356	Active
357	Active
358	Active
359	Active
360	Active
361	Active
362	Active
363	Active
364	Active
365	Active
366	Active
367	Active
368	Active
369	Active
370	Active
371	Active
372	Active
373	Active
374	Active
375	Active
376	Active
377	Active
378	Active
379	Active
380	Active
381	Active
382	Active
383	Active
384	Active
385	Active
386	Active
387	Active
388	Active
389	Active
390	Active
391	Active
392	Active
393	Active
394	Active
395	Active
396	Active
397	Active
398	Active
399	Active
400	Active
401	Active
402	Active
403	Active
404	Inactive
405	Inactive
406	Inactive
407	Inactive
408	Inactive
409	Inactive
410	Inactive
411	Inactive
412	Inactive
413	Inactive
414	Inactive
415	Inactive
416	Inactive
417	Inactive
418	Inactive
419	Inactive
420	Inactive
421	Inactive
422	Inactive
423	Inactive
424	Inactive
425	Inactive
426	Inactive
427	Inactive
428	Inactive
429	Inactive
430	Inactive
431	Inactive
432	Inactive
433	Inactive
434	Inactive
435	Inactive
436	Inactive
437	Inactive
438	Inactive
439	Inactive
440	Inactive
441	Inactive
442	Inactive
443	Inactive
444	Inactive
445	Inactive
446	Inactive
447	Inactive
448	Inactive
449	Inactive
450	Inactive
451	Inactive
452	Inactive
453	Inactive
454	Inactive
455	Inactive
456	Inactive
457	Inactive
458	Inactive
459	Inactive
460	Inactive
461	Inactive
462	Inactive
463	Inactive
464	Inactive
465	Inactive
466	Inactive
467	Inactive
468	Inactive
469	Inactive
470	Inactive
471	Inactive
472	Inactive
473	Inactive
474	Inactive
475	Inactive
476	Inactive
477	Inactive
478	Inactive
479	Inactive
480	Inactive
481	Inactive
482	Inactive
483	Inactive
484	Inactive
485	Inactive
486	Inactive
487	Inactive
488	Inactive
489	Inactive
490	Inactive
491	Inactive
492	Inactive
493	Inactive
494	Inactive
495	Inactive
496	Inactive
497	Inactive
498	Inactive
499	Inactive
500	Inactive
501	Inactive
502	Inactive
503	Inactive
504	Inactive
505	Inactive
506	Inactive
507	Inactive
508	Inactive
509	Inactive
510	Inactive
511	Inactive
512	Inactive
513	Inactive
514	Inactive
515	Inactive
516	Inactive
517	Inactive
518	Inactive
519	Inactive
520	Inactive
